PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 3               | 3        | 1            | 1             | 2              | 
| 3        | 1          | 3               | 3        | 1            | 3             | 2              | 
| 4        | 1          | 8               | 8        | 1            | 2             | 7              | 
| 5        | 9          | 14              | 6        | 4            | 2             | 10             | 
| 6        | 4          | 11              | 8        | 3            | 1             | 2              | 
| 7        | 4          | 11              | 8        | 3            | 2             | 10             | 
| 8        | 18         | 22              | 5        | 5            | 1             | 4              | 
| 9        | 12         | 15              | 4        | 2            | 2             | 8              | 
| 10       | 15         | 22              | 8        | 5            | 3             | 5              | 
| 11       | 23         | 31              | 9        | 10           | 2             | 8              | 
| 12       | 9          | 11              | 3        | 4            | 1             | 2              | 
| 13       | 12         | 16              | 5        | 7            | 1             | 10             | 
| 14       | 16         | 25              | 10       | 9            | 2             | 1              | 
| 15       | 4          | 6               | 3        | 3            | 1             | 8              | 
| 16       | 32         | 35              | 4        | 11, 13       | 2             | 2              | 
| 17       | 26         | 34              | 9        | 14           | 1             | 4              | 
| 18       | 36         | 42              | 7        | 12, 16, 17   | 4             | 4              | 
| 19       | 24         | 31              | 8        | 8            | 2             | 1              | 
| 20       | 23         | 32              | 10       | 6, 7         | 2             | 1              | 
| 21       | 37         | 40              | 4        | 11, 20       | 1             | 2              | 
| 22       | 32         | 37              | 6        | 11, 19       | 2             | 7              | 
| 23       | 38         | 38              | 1        | 22           | 2             | 2              | 
| 24       | 34         | 36              | 3        | 6, 14, 19    | 1             | 9              | 
| 25       | 7          | 11              | 5        | 15           | 4             | 7              | 
| 26       | 35         | 43              | 9        | 17, 19       | 4             | 8              | 
| 27       | 24         | 29              | 6        | 9            | 1             | 2              | 
| 28       | 23         | 30              | 8        | 8            | 2             | 10             | 
| 29       | 41         | 44              | 4        | 8, 21, 25    | 2             | 9              | 
| 30       | 39         | 43              | 5        | 23, 24, 28   | 3             | 4              | 
| 31       | 44         | 44              | 1        | 18, 26, 27   | 3             | 9              | 
| 32       | 44         | 44              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 32 not completed before time period 44? 

Write a brief explanation without listing reasons. 

OUTPUT:
